ibgeID;reg
3500105;RA - Presidente Prudente
3500204;RA - São José do Rio Preto
3500303;RA - Campinas
3500402;RA - Campinas
3500501;RA - Campinas
3500550;RA - Sorocaba
3500600;RA - Campinas
3500709;RA - Bauru
3500758;RA - Sorocaba
3500808;RA - Presidente Prudente
3500907;RA - Barretos
3501004;RA - Ribeirão Preto
3501103;RA - Araçatuba
3501152;RA - Sorocaba
3501202;RA - São José do Rio Preto
3501301;RA - Presidente Prudente
3501400;RA - Marília
3501509;RA - Marília
3501608;RA - Campinas
3501707;RA - Central
3501806;RA - São José do Rio Preto
3501905;RA - Campinas
3502002;RA - Campinas
3502101;RA - Araçatuba
3502200;RA - Itapeva
3502309;RA - Sorocaba
3502408;RA - Presidente Prudente
3502507;RA - São José dos Campos
3502606;RA - São José do Rio Preto
3502705;RA - Itapeva
3502754;RA - Sorocaba
3502804;RA - Araçatuba
3502903;RA - Sorocaba
3503000;RA - Franca
3503109;RA - Itapeva
3503158;RA - São José dos Campos
3503208;RA - Central
3503307;RA - Campinas
3503356;RA - Marília
3503406;RA - Bauru
3503505;RA - São José dos Campos
3503604;RA - Sorocaba
3503703;RA - São José do Rio Preto
3503802;RA - Campinas
3503901;RM - São Paulo
3503950;RA - São José do Rio Preto
3504008;RA - Marília
3504107;RA - Campinas
3504206;RA - Araçatuba
3504305;RA - Bauru
3504404;RA - Araçatuba
3504503;RA - Sorocaba
3504602;RA - São José do Rio Preto
3504701;RA - Bauru
3504800;RA - São José do Rio Preto
3504909;RA - São José dos Campos
3505005;RA - Itapeva
3505104;RA - Araçatuba
3505203;RA - Bauru
3505302;RA - Bauru
3505351;RA - Itapeva
3505401;RA - Registro
3505500;RA - Barretos
3505609;RA - Ribeirão Preto
3505708;RM - São Paulo
3505807;RA - Marília
3505906;RA - Franca
3506003;RA - Bauru
3506102;RA - Barretos
3506201;RA - Araçatuba
3506300;RA - Marília
3506359;RA - Santos
3506409;RA - Araçatuba
3506508;RA - Araçatuba
3506607;RM - São Paulo
3506706;RA - Central
3506805;RA - Bauru
3506904;RA - Sorocaba
3507001;RA - Sorocaba
3507100;RA - Campinas
3507159;RA - Itapeva
3507209;RA - Marília
3507308;RA - Bauru
3507407;RA - Central
3507456;RA - Bauru
3507506;RA - Sorocaba
3507605;RA - Campinas
3507704;RA - Araçatuba
3507753;RA - Araçatuba
3507803;RA - Ribeirão Preto
3507902;RA - Campinas
3508009;RA - Itapeva
3508108;RA - Araçatuba
3508207;RA - Franca
3508306;RA - Bauru
3508405;RA - Campinas
3508504;RA - São José dos Campos
3508603;RA - São José dos Campos
3508702;RA - Campinas
3508801;RA - Bauru
3508900;RA - Presidente Prudente
3509007;RM - São Paulo
3509106;RA - Presidente Prudente
3509205;RM - São Paulo
3509254;RA - Registro
3509304;RA - Barretos
3509403;RA - Ribeirão Preto
3509452;RA - Itapeva
3509502;RA - Campinas
3509601;RA - Campinas
3509700;RA - São José dos Campos
3509809;RA - Marília
3509908;RA - Registro
3509957;RA - São José dos Campos
3510005;RA - Marília
3510104;RA - Central
3510153;RA - Marília
3510203;RA - Itapeva
3510302;RA - Sorocaba
3510401;RA - Campinas
3510500;RA - São José dos Campos
3510609;RM - São Paulo
3510708;RA - São José do Rio Preto
3510807;RA - Campinas
3510906;RA - Ribeirão Preto
3511003;RA - Araçatuba
3511102;RA - São José do Rio Preto
3511201;RA - São José do Rio Preto
3511300;RA - São José do Rio Preto
3511409;RA - Sorocaba
3511508;RA - Sorocaba
3511607;RA - Sorocaba
3511706;RA - Campinas
3511904;RA - Araçatuba
3512001;RA - Barretos
3512100;RA - Barretos
3512209;RA - Campinas
3512308;RA - Sorocaba
3512407;RA - Campinas
3512506;RA - Araçatuba
3512605;RA - Itapeva
3512704;RA - Campinas
3512803;RA - Campinas
3512902;RA - São José do Rio Preto
3513009;RM - São Paulo
3513108;RA - Ribeirão Preto
3513207;RA - Franca
3513306;RA - Marília
3513405;RA - São José dos Campos
3513504;RA - Santos
3513603;RA - São José dos Campos
3513702;RA - Central
3513801;RM - São Paulo
3513850;RA - São José do Rio Preto
3513900;RA - Campinas
3514007;RA - Central
3514106;RA - Bauru
3514205;RA - São José do Rio Preto
3514304;RA - Central
3514403;RA - Presidente Prudente
3514502;RA - Bauru
3514601;RA - Ribeirão Preto
3514700;RA - Marília
3514809;RA - Registro
3514908;RA - Campinas
3514924;RA - São José do Rio Preto
3514957;RA - Barretos
3515004;RM - São Paulo
3515103;RM - São Paulo
3515129;RA - Presidente Prudente
3515152;RA - Campinas
3515186;RA - Campinas
3515194;RA - Marília
3515202;RA - São José do Rio Preto
3515301;RA - Presidente Prudente
3515350;RA - Presidente Prudente
3515400;RA - Itapeva
3515509;RA - São José do Rio Preto
3515608;RA - Central
3515657;RA - Marília
3515707;RM - São Paulo
3515806;RA - Presidente Prudente
3515905;RA - São José do Rio Preto
3516002;RA - Presidente Prudente
3516101;RA - Marília
3516200;RA - Franca
3516309;RM - São Paulo
3516408;RM - São Paulo
3516507;RA - Araçatuba
3516606;RA - Marília
3516705;RA - Marília
3516804;RA - Araçatuba
3516853;RA - Central
3516903;RA - Araçatuba
3517000;RA - Bauru
3517109;RA - Araçatuba
3517208;RA - Bauru
3517307;RA - Bauru
3517406;RA - Barretos
3517505;RA - São José do Rio Preto
3517604;RA - Itapeva
3517703;RA - Franca
3517802;RA - Araçatuba
3517901;RA - Barretos
3518008;RA - São José do Rio Preto
3518107;RA - Bauru
3518206;RA - Araçatuba
3518305;RM - São Paulo
3518404;RA - São José dos Campos
3518503;RA - Sorocaba
3518602;RA - Ribeirão Preto
3518701;RA - Santos
3518800;RM - São Paulo
3518859;RA - Ribeirão Preto
3518909;RA - Araçatuba
3519006;RA - Marília
3519055;RA - Campinas
3519071;RA - Campinas
3519105;RA - Bauru
3519204;RA - Marília
3519253;RA - Sorocaba
3519303;RA - Central
3519402;RA - São José do Rio Preto
3519501;RA - Marília
3519600;RA - Central
3519709;RA - Sorocaba
3519808;RA - São José do Rio Preto
3519907;RA - Presidente Prudente
3520004;RA - Bauru
3520103;RA - Franca
3520202;RA - São José dos Campos
3520301;RA - Registro
3520400;RA - São José dos Campos
3520426;RA - Registro
3520442;RA - Araçatuba
3520509;RA - Campinas
3520608;RA - Presidente Prudente
3520707;RA - São José do Rio Preto
3520806;RA - Presidente Prudente
3520905;RA - Marília
3521002;RA - Sorocaba
3521101;RA - Campinas
3521150;RA - São José do Rio Preto
3521200;RA - Itapeva
3521309;RA - Franca
3521408;RA - Campinas
3521507;RA - São José do Rio Preto
3521606;RA - Presidente Prudente
3521705;RA - Itapeva
3521804;RA - Itapeva
3521903;RA - São José do Rio Preto
3522000;RA - Bauru
3522109;RA - Santos
3522158;RA - Itapeva
3522208;RM - São Paulo
3522307;RA - Sorocaba
3522406;RA - Itapeva
3522505;RM - São Paulo
3522604;RA - Campinas
3522653;RA - Itapeva
3522703;RA - Central
3522802;RA - Itapeva
3522901;RA - Bauru
3523008;RA - Araçatuba
3523107;RM - São Paulo
3523206;RA - Itapeva
3523305;RA - Registro
3523404;RA - Campinas
3523503;RA - Sorocaba
3523602;RA - Campinas
3523701;RA - Franca
3523800;RA - Campinas
3523909;RA - Sorocaba
3524006;RA - Campinas
3524105;RA - Franca
3524204;RA - Barretos
3524303;RA - Ribeirão Preto
3524402;RA - São José dos Campos
3524501;RA - São José do Rio Preto
3524600;RA - Registro
3524709;RA - Campinas
3524808;RA - São José do Rio Preto
3524907;RA - São José dos Campos
3525003;RM - São Paulo
3525102;RA - Ribeirão Preto
3525201;RA - Campinas
3525300;RA - Bauru
3525409;RA - Franca
3525508;RA - Campinas
3525607;RA - Marília
3525706;RA - São José do Rio Preto
3525805;RA - Marília
3525854;RA - Sorocaba
3525904;RA - Campinas
3526001;RA - Presidente Prudente
3526100;RA - Registro
3526209;RM - São Paulo
3526308;RA - São José dos Campos
3526407;RA - Sorocaba
3526506;RA - Araçatuba
3526605;RA - São José dos Campos
3526704;RA - Campinas
3526803;RA - Bauru
3526902;RA - Campinas
3527009;RA - Campinas
3527108;RA - Bauru
3527207;RA - São José dos Campos
3527256;RA - Araçatuba
3527306;RA - Campinas
3527405;RA - Presidente Prudente
3527504;RA - Bauru
3527603;RA - Ribeirão Preto
3527702;RA - Araçatuba
3527801;RA - Marília
3527900;RA - Marília
3528007;RA - Bauru
3528106;RA - São José do Rio Preto
3528205;RA - São José do Rio Preto
3528304;RA - São José do Rio Preto
3528403;RA - Sorocaba
3528502;RM - São Paulo
3528601;RA - Sorocaba
3528700;RA - Presidente Prudente
3528809;RA - Marília
3528858;RA - São José do Rio Preto
3528908;RA - Presidente Prudente
3529005;RA - Marília
3529104;RA - São José do Rio Preto
3529203;RA - Presidente Prudente
3529302;RA - Central
3529401;RM - São Paulo
3529500;RA - São José do Rio Preto
3529609;RA - São José do Rio Preto
3529658;RA - São José do Rio Preto
3529708;RA - Franca
3529807;RA - Bauru
3529906;RA - Registro
3530003;RA - São José do Rio Preto
3530102;RA - Araçatuba
3530201;RA - Presidente Prudente
3530300;RA - São José do Rio Preto
3530409;RA - São José do Rio Preto
3530508;RA - Campinas
3530607;RM - São Paulo
3530706;RA - Campinas
3530805;RA - Campinas
3530904;RA - Campinas
3531001;RA - São José do Rio Preto
3531100;RA - Santos
3531209;RA - Campinas
3531308;RA - Ribeirão Preto
3531407;RA - São José do Rio Preto
3531506;RA - Barretos
3531605;RA - Presidente Prudente
3531704;RA - São José dos Campos
3531803;RA - Campinas
3531902;RA - Franca
3532009;RA - Campinas
3532058;RA - Central
3532108;RA - Araçatuba
3532157;RA - Presidente Prudente
3532207;RA - Presidente Prudente
3532306;RA - São José dos Campos
3532405;RA - Campinas
3532504;RA - São José do Rio Preto
3532603;RA - São José do Rio Preto
3532702;RA - São José do Rio Preto
3532801;RA - São José do Rio Preto
3532827;RA - Itapeva
3532843;RA - São José do Rio Preto
3532868;RA - Araçatuba
3532900;RA - Central
3533007;RA - São José do Rio Preto
3533106;RA - Presidente Prudente
3533205;RA - Araçatuba
3533254;RA - São José do Rio Preto
3533304;RA - Araçatuba
3533403;RA - Campinas
3533502;RA - São José do Rio Preto
3533601;RA - Franca
3533700;RA - Marília
3533809;RA - Marília
3533908;RA - Barretos
3534005;RA - São José do Rio Preto
3534104;RA - Marília
3534203;RA - São José do Rio Preto
3534302;RA - Franca
3534401;RM - São Paulo
3534500;RA - Marília
3534609;RA - Presidente Prudente
3534708;RA - Marília
3534757;RA - São José do Rio Preto
3534807;RA - Presidente Prudente
3534906;RA - Presidente Prudente
3535002;RA - São José do Rio Preto
3535101;RA - São José do Rio Preto
3535200;RA - São José do Rio Preto
3535309;RA - Marília
3535408;RA - Presidente Prudente
3535507;RA - Marília
3535606;RA - São José dos Campos
3535705;RA - São José do Rio Preto
3535804;RA - Itapeva
3535903;RA - São José do Rio Preto
3536000;RA - Marília
3536109;RA - Sorocaba
3536208;RA - Registro
3536257;RA - São José do Rio Preto
3536307;RA - Franca
3536406;RA - Presidente Prudente
3536505;RA - Campinas
3536570;RA - Bauru
3536604;RA - São José do Rio Preto
3536703;RA - Bauru
3536802;RA - Campinas
3536901;RA - São José do Rio Preto
3537008;RA - Franca
3537107;RA - Campinas
3537156;RA - Marília
3537206;RA - Registro
3537305;RA - Araçatuba
3537404;RA - Araçatuba
3537503;RA - Sorocaba
3537602;RA - Santos
3537701;RA - Araçatuba
3537800;RA - Sorocaba
3537909;RA - Sorocaba
3538006;RA - São José dos Campos
3538105;RA - São José do Rio Preto
3538204;RA - Campinas
3538303;RA - Presidente Prudente
3538501;RA - São José dos Campos
3538600;RA - Campinas
3538709;RA - Campinas
3538808;RA - Itapeva
3538907;RA - Bauru
3539004;RA - Barretos
3539103;RM - São Paulo
3539202;RA - Presidente Prudente
3539301;RA - Campinas
3539400;RA - Bauru
3539509;RA - Ribeirão Preto
3539608;RA - São José do Rio Preto
3539707;RA - Marília
3539806;RM - São Paulo
3539905;RA - São José do Rio Preto
3540002;RA - Marília
3540101;RA - Bauru
3540200;RA - Ribeirão Preto
3540259;RA - São José do Rio Preto
3540309;RA - São José do Rio Preto
3540408;RA - São José do Rio Preto
3540507;RA - Sorocaba
3540606;RA - Sorocaba
3540705;RA - Central
3540754;RA - São José dos Campos
3540804;RA - São José do Rio Preto
3540853;RA - Presidente Prudente
3540903;RA - Ribeirão Preto
3541000;RA - Santos
3541059;RA - Sorocaba
3541109;RA - Bauru
3541208;RA - Presidente Prudente
3541307;RA - Presidente Prudente
3541406;RA - Presidente Prudente
3541505;RA - Presidente Prudente
3541604;RA - Bauru
3541653;RA - Sorocaba
3541703;RA - Marília
3541802;RA - Marília
3541901;RA - São José dos Campos
3542008;RA - Marília
3542107;RA - Campinas
3542206;RA - Presidente Prudente
3542305;RA - São José dos Campos
3542404;RA - Presidente Prudente
3542503;RA - Bauru
3542602;RA - Registro
3542701;RA - Franca
3542800;RA - Itapeva
3542909;RA - Central
3543006;RA - Itapeva
3543105;RA - Franca
3543204;RA - Marília
3543238;RA - Presidente Prudente
3543253;RA - Itapeva
3543303;RM - São Paulo
3543402;RA - Ribeirão Preto
